CMPD,DG,KGRP
cdk2_hardcastle_02_1h1q,8.171,4
cdk2_hardcastle_03_1h1s,11.234,4
cdk2_hardcastle_15_1h1r,7.662,4
cdk2_hardcastle_17,7.022,4
cdk2_hardcastle_20,8.694,4
cdk2_hardcastle_21,7.806,4
cdk2_hardcastle_22,7.84,4
cdk2_hardcastle_25_1oi9,9.731,4
cdk2_hardcastle_26,8.407,4
cdk2_hardcastle_28,11.081,4
cdk2_hardcastle_29,9.854,4
cdk2_hardcastle_30,9.785,4
cdk2_hardcastle_31,9.512,4
cdk2_hardcastle_32,9.722,4
cdk2_hardcastle_33_1oiu,9.074,4
cdk2_hardcastle_34_1oiy,9.775,4
jnk1_abbott_01_AZ1,8.724,2
jnk1_abbott_02_AZ2,10.631,1
jnk1_abbott_03_AZ3,9.714,1
jnk1_abbott_04_6a,8.323,1
jnk1_abbott_05_6b,8.773,1
jnk1_abbott_06_6c,7.335,1
jnk1_abbott_07_6d,7.955,1
jnk1_abbott_08_6e,8.485,1
jnk1_abbott_09_6f,8.097,1
jnk1_abbott_10_6g,8.864,1
jnk1_abbott_11_6h,8.475,1
jnk1_abbott_12_6i,8.694,1
jnk1_abbott_13_6j,8.665,1
jnk1_abbott_14_6k,9.133,1
jnk1_abbott_15_6l,9.404,1
jnk1_abbott_16_6m,9.074,1
jnk1_abbott_17_6n,9.165,1
jnk1_abbott_18_6o,9.983,1
jnk1_abbott_19_6p,7.279,1
jnk1_abbott_20_6q,7.505,1
jnk1_abbott_21_6r,10.131,1
jnk1_abbott_22_6s,10.083,1
jnk1_abbott_23_6t_2gmx,9.666,1
jnk1_abbott_24_6u,9.731,1
jnk1_abbott_25_7,6.794,1
jnk1_abbott_26_8,6.794,1
jnk1_abbott_27_10,6.794,2
jnk1_abbott_28_28a,7.567,1
jnk1_abbott_29_28b,7.414,1
jnk1_abbott_30_28c,7.067,1
jnk1_abbott_31_28d,9.235,1
jnk1_abbott_32_29,8.55,1
jnk1_abbott_33_30,8.926,1
jnk1_abbott_34_31_down,8.864,1
jnk1_abbott_35_33_down,9.731,4
jnk1_abbott_36_34_down,9.594,1
jnk1_abbott_37_17,7.84,1
jnk1_abbott_38_18a,8.844,1
jnk1_abbott_39_18b,10.672,2
jnk1_abbott_40_19a,6.794,1
jnk1_abbott_41_19b,7.227,1
jnk1_abbott_42_19c,8.222,1
jnk1_abbott_43_19d,7.715,1
jnk1_abbott_44_19e,7.688,1
jnk1_abbott_45_20a,9.69,1
jnk1_abbott_46_20b,9.456,1
jnk1_abbott_47_20c,8.694,1
jnk1_abbott_48_21,6.863,1
jnk1_abbott_49_22,7.636,1
jnk1_abbott_50_23,8.209,5
jnk1_abbott_51_24,7.774,2
jnk1_abbott_52_25,6.794,1
jnk1_abbott_53_26,7.589,1
jnk1_abbott_54_39,6.794,1
